student_id,user_id,group_id
0,63,0
1,849,0
2,417,0
3,805,0
4,347,0
5,948,0
6,464,0
7,772,0
8,370,0
9,959,0
10,945,0
11,333,0
12,264,0
13,36,0
14,783,0
15,481,0
16,676,0
17,900,1
18,811,1
19,460,1
20,835,1
21,254,1
22,163,1
23,582,1
24,438,1
25,633,1
26,49,1
27,955,1
28,309,1
29,833,1
30,247,1
31,591,1
32,677,1
33,957,2
34,549,2
35,713,2
36,949,2
37,148,2
38,79,2
39,421,2
40,958,2
41,857,2
42,818,2
43,867,2
44,275,2
45,92,2
46,566,2
47,338,2
48,940,2
49,358,2
50,933,2
51,678,2
52,385,2
53,987,2
54,207,2
55,277,2
56,959,2
57,789,2
58,256,2
59,971,2
60,435,2
61,890,2
62,569,2
63,764,2
64,849,2
65,110,2
66,823,2
67,72,2
68,55,2
69,112,2
70,391,3
71,820,3
72,601,3
73,632,3
74,693,3
75,192,3
76,487,3
77,59,3
78,980,3
79,106,3
80,993,3
81,646,3
82,39,3
83,87,3
84,436,3
85,210,3
86,137,3
87,231,3
88,486,3
89,375,3
90,229,3
91,60,3
92,906,4
93,471,4
94,385,4
95,0,4
96,75,4
97,630,4
98,653,4
99,420,4
100,351,4
101,526,4
102,4,4
103,721,4
104,318,4
105,30,4
106,142,4
107,315,4
108,924,4
109,764,4
110,813,4
111,614,4
112,160,4
113,926,4
114,474,4
115,502,4
116,607,4
117,65,4
118,655,4
119,78,4
120,969,4
121,765,4
122,503,4
123,950,4
124,148,4
125,795,4
126,55,4
127,149,4
128,232,5
129,755,5
130,960,5
131,457,5
132,865,5
133,905,5
134,944,5
135,116,5
136,73,5
137,801,5
138,12,5
139,718,5
140,804,5
141,184,5
142,840,5
143,630,5
144,639,5
145,249,5
146,191,5
147,953,5
148,471,5
149,697,5
150,933,5
151,985,5
152,331,5
153,763,5
154,148,5
155,345,5
156,98,5
157,672,5
158,712,5
159,78,5
160,695,5
161,640,5
162,320,5
163,428,5
164,38,5
165,781,5
166,569,5
167,109,6
168,784,6
169,442,6
170,202,6
171,440,6
172,413,6
173,416,6
174,982,6
175,674,6
176,244,6
177,65,6
178,974,6
179,488,6
180,45,6
181,131,6
182,655,6
183,899,7
184,149,7
185,155,7
186,506,7
187,682,7
188,848,7
189,302,7
190,319,7
191,504,7
192,31,7
193,207,7
194,586,7
195,982,7
196,744,7
197,513,7
198,507,7
199,88,7
200,689,7
201,900,7
202,493,7
203,345,7
204,25,7
205,558,7
206,567,7
207,734,7
208,334,7
209,549,7
210,447,7
211,827,7
212,941,7
213,305,7
214,199,7
215,465,7
216,326,7
217,834,7
218,251,7
219,41,7
220,180,7
221,904,8
222,100,8
223,719,8
224,232,8
225,413,8
226,600,8
227,228,8
228,212,8
229,962,8
230,884,8
231,511,8
232,336,8
233,109,8
234,496,8
235,139,8
236,983,8
237,832,8
238,532,8
239,445,8
240,290,8
241,649,8
242,249,8
243,784,8
244,264,8
245,814,8
246,0,8
247,305,8
248,298,8
249,171,8
250,437,8
251,652,8
252,286,9
253,552,9
254,499,9
255,422,9
256,936,9
257,865,9
258,223,9
259,895,9
260,475,9
261,752,9
262,393,9
263,678,9
264,871,9
265,844,9
266,160,9
267,506,9
268,693,9
269,827,9
270,101,9
271,291,9
272,261,9
273,776,9
274,572,9
275,863,9
276,153,9
277,347,9
278,574,9
279,378,9
280,720,9
281,516,9
282,924,9
283,491,9
284,2,9
285,471,9
286,956,9
287,62,9
288,996,9
289,276,9
290,437,9
291,522,9
292,488,9
293,486,9
294,630,10
295,699,10
296,882,10
297,828,10
298,434,10
299,384,10
300,198,10
301,745,10
302,993,10
303,466,10
304,474,10
305,609,10
306,765,10
307,96,10
308,366,10
309,927,10
310,442,10
311,905,10
312,689,10
313,878,10
314,371,10
315,486,10
316,297,10
317,493,10
318,564,10
319,635,10
320,936,10
321,855,10
322,155,10
323,884,10
324,170,10
325,648,10
326,742,10
327,789,10
328,470,10
329,248,10
330,125,10
331,448,10
332,458,10
333,955,10
334,345,10
335,398,10
336,633,11
337,706,11
338,736,11
339,541,11
340,895,11
341,761,11
342,673,11
343,242,11
344,576,11
345,624,11
346,487,11
347,488,11
348,206,11
349,6,11
350,905,11
351,508,11
352,793,11
353,809,11
354,149,11
355,60,11
356,785,11
357,64,11
358,704,11
359,506,12
360,770,12
361,623,12
362,708,12
363,345,12
364,894,12
365,289,12
366,507,12
367,357,12
368,39,12
369,272,12
370,593,12
371,668,12
372,224,12
373,939,12
374,671,12
375,705,12
376,246,12
377,576,12
378,714,12
379,541,12
380,638,13
381,53,13
382,203,13
383,228,13
384,730,13
385,443,13
386,347,13
387,189,13
388,818,13
389,740,13
390,244,13
391,459,13
392,985,13
393,505,13
394,450,13
395,461,13
396,292,13
397,824,13
398,153,13
399,625,13
400,341,13
401,224,13
402,28,13
403,960,13
404,861,13
405,871,13
406,493,13
407,499,13
408,904,13
409,158,13
410,254,13
411,697,13
412,642,13
413,174,13
414,432,13
415,1,13
416,558,13
417,715,13
418,78,13
419,536,13
420,632,13
421,749,13
422,987,13
423,15,13
424,248,13
425,734,13
426,902,13
427,751,13
428,762,13
429,184,14
430,449,14
431,561,14
432,94,14
433,759,14
434,221,14
435,351,14
436,657,14
437,432,14
438,935,14
439,200,14
440,335,14
441,146,14
442,213,14
443,313,14
444,52,14
445,160,14
446,965,14
447,244,14
448,334,14
449,253,14
450,272,14
451,489,14
452,507,14
453,924,14
454,736,14
455,369,14
456,937,14
457,336,14
458,940,14
459,668,14
460,585,14
461,129,14
462,198,14
463,365,14
464,60,14
465,337,14
466,520,14
467,833,14
468,296,14
469,384,14
