teacher_id,user_id,group_id
1,627,1
2,341,1
3,686,1
4,604,1
5,422,1
6,566,1
7,43,1
8,600,1
9,349,1
10,911,1
11,406,2
12,811,2
13,983,2
14,834,2
15,153,2
16,632,3
17,460,3
18,407,3
19,139,3
20,346,3
21,711,3
22,836,4
23,727,5
24,54,5
25,731,5
26,4,5
27,941,5
28,865,6
29,933,6
30,238,7
31,521,7
32,72,7
33,211,7
34,937,8
35,856,8
36,641,8
37,658,8
38,435,8
39,797,8
40,508,8
41,705,8
42,343,9
43,719,9
44,111,10
45,473,10
46,344,10
47,315,10
48,571,10
49,496,10
50,506,10
51,254,10
52,700,11
53,216,11
54,331,11
55,943,11
56,538,11
57,349,11
58,898,11
59,628,12
60,326,12
61,638,12
62,117,12
63,162,12
64,82,12
65,305,12
66,342,12
67,575,12
68,495,13
69,969,13
70,931,13
71,413,13
72,405,13
73,602,13
74,884,14
75,532,15
76,410,15
77,138,15
78,462,16
79,342,17
80,490,17
81,936,18
82,624,18
83,45,18
84,354,18
85,891,18
86,918,19
87,323,19
88,44,19
89,137,19
90,928,19
91,686,19
92,985,20
93,64,20
94,815,20
95,114,20
96,274,20
97,309,20
98,33,20
99,562,20
100,647,20
101,379,20
102,462,21
103,69,21
104,540,21
105,157,22
106,753,22
107,25,22
108,990,22
109,200,22
110,88,22
111,967,22
112,870,22
113,848,23
114,832,23
115,982,23
116,707,23
117,358,23
118,892,24
119,69,24
120,705,24
121,9,25
122,834,26
123,897,26
124,771,27
125,578,27
126,91,27
127,817,27
128,372,28
129,450,28
130,884,28
131,595,29
132,713,30
133,464,31
134,307,32
135,489,32
136,2,32
137,884,32
138,441,32
139,97,32
140,435,33
141,311,33
142,915,33
143,458,34
144,616,34
145,791,34
146,809,35
147,661,35
148,647,35
149,540,35
150,321,36
151,418,36
152,513,37
153,886,37
154,241,37
155,69,37
156,795,38
157,647,38
158,295,38
159,349,38
160,232,38
161,392,38
162,830,38
163,690,39
164,233,40
165,588,40
166,686,40
167,716,41
168,65,41
169,995,41
170,91,41
171,741,41
172,766,41
173,412,41
174,648,42
175,727,42
176,692,43
177,205,43
178,636,43
179,713,43
180,400,43
181,85,43
182,731,43
183,928,43
184,577,43
185,526,43
186,490,44
187,10,44
188,580,44
189,251,44
190,484,44
191,744,44
192,912,44
193,506,45
194,482,45
195,572,45
196,626,45
197,197,45
198,995,45
199,375,45
200,649,46
201,962,46
202,648,46
203,897,46
204,474,47
205,660,47
206,835,47
207,573,48
208,235,48
209,631,48
210,940,48
211,162,48
212,356,48
213,686,49
214,29,49
215,120,49
216,33,49
217,893,50
218,836,50
219,518,50
220,865,50
221,315,50
222,328,51
223,950,51
224,447,51
225,786,51
226,744,51
227,498,51
228,945,51
229,532,52
230,445,52
231,85,52
232,67,52
233,992,52
234,627,52
235,205,53
236,792,53
237,491,53
238,799,54
239,517,54
240,56,54
241,147,54
242,862,55
243,469,55
244,618,55
245,100,55
246,497,55
247,942,55
248,869,55
249,123,55
250,961,56
251,192,56
252,819,56
253,49,56
254,620,56
255,441,56
256,274,57
257,819,57
258,485,57
259,593,57
260,31,58
261,127,58
262,123,58
263,573,58
264,618,58
265,371,58
266,197,58
267,748,58
268,778,58
269,437,59
270,503,59
271,865,59
272,625,59
273,691,59
274,630,59
275,925,59
276,385,59
277,895,59
278,703,60
279,773,60
280,237,60
281,406,60
282,665,61
283,623,61
284,561,61
285,83,61
286,533,61
287,537,61
288,887,61
289,961,61
290,700,62
291,243,62
292,768,62
293,696,62
294,442,63
295,378,63
296,588,63
297,403,63
298,42,63
299,801,63
300,767,64
301,896,64
302,886,64
303,182,64
304,669,64
305,314,64
306,997,64
307,676,65
308,369,65
309,175,65
310,327,65
311,683,65
312,830,65
313,499,65
314,593,65
315,459,66
316,885,66
317,716,66
318,909,66
319,527,66
320,637,66
321,38,66
322,437,67
323,648,67
324,83,67
325,948,68
326,528,68
327,796,68
328,554,68
329,836,68
330,346,68
331,948,69
332,697,69
333,231,69
334,249,69
335,458,69
336,408,69
337,900,69
338,745,70
339,886,70
340,820,71
341,377,71
342,865,71
343,1,71
344,509,72
345,884,72
346,418,72
347,888,72
348,648,72
349,874,72
350,6,73
351,612,73
352,709,73
353,427,73
354,823,73
355,455,73
356,22,73
357,176,74
358,43,74
359,512,74
360,464,74
361,218,75
362,559,75
363,720,76
364,527,76
365,690,76
366,519,77
367,735,77
368,818,77
369,454,77
370,123,77
371,549,77
372,872,77
373,55,78
374,648,78
375,966,79
376,125,79
377,351,80
378,357,80
379,239,80
380,994,80
381,35,81
382,249,81
383,927,81
384,144,82
385,415,82
386,721,82
387,457,83
388,411,83
389,484,83
390,5,83
391,445,83
392,261,83
393,848,83
394,436,83
395,913,83
396,272,83
397,586,84
398,470,85
399,816,85
400,526,86
401,756,86
402,598,87
403,162,87
404,605,87
405,699,87
406,321,88
407,59,89
408,327,89
409,438,89
410,106,89
411,827,90
412,697,91
413,150,91
414,747,91
415,717,91
416,108,92
417,874,92
418,949,93
419,442,93
420,377,93
421,618,93
422,16,93
423,294,93
424,761,93
425,723,93
426,451,93
427,243,94
428,988,94
429,662,94
430,908,94
431,581,94
432,905,95
433,661,95
434,365,95
435,429,95
436,139,95
437,570,95
438,319,96
439,498,96
440,804,96
441,582,96
442,930,97
443,879,97
444,97,97
445,919,97
446,37,97
447,540,97
448,292,97
449,626,98
450,45,98
451,855,98
452,323,98
453,658,99
454,298,99
455,260,99
456,832,100
457,46,100
458,267,100
459,898,100
