teacher_id,supervisor_id,LoadDateTimeStamp,RecordSource
1,1,2019-12-09 13:40:32,kaggle
1,2,2019-12-09 13:40:32,kaggle
1,3,2019-12-09 13:40:32,kaggle
1,4,2019-12-09 13:40:32,kaggle
1,5,2019-12-09 13:40:32,kaggle
1,6,2019-12-09 13:40:32,kaggle
1,7,2019-12-09 13:40:32,kaggle
1,8,2019-12-09 13:40:32,kaggle
1,9,2019-12-09 13:40:32,kaggle
1,10,2019-12-09 13:40:32,kaggle
1,11,2019-12-09 13:40:32,kaggle
1,12,2019-12-09 13:40:32,kaggle
1,13,2019-12-09 13:40:32,kaggle
1,14,2019-12-09 13:40:32,kaggle
1,15,2019-12-09 13:40:32,kaggle
1,16,2019-12-09 13:40:32,kaggle
1,17,2019-12-09 13:40:32,kaggle
1,18,2019-12-09 13:40:32,kaggle
1,19,2019-12-09 13:40:32,kaggle
1,20,2019-12-09 13:40:32,kaggle
1,21,2019-12-09 13:40:32,kaggle
1,22,2019-12-09 13:40:32,kaggle
1,23,2019-12-09 13:40:32,kaggle
1,24,2019-12-09 13:40:32,kaggle
1,25,2019-12-09 13:40:32,kaggle
1,26,2019-12-09 13:40:32,kaggle
1,27,2019-12-09 13:40:32,kaggle
1,28,2019-12-09 13:40:32,kaggle
1,29,2019-12-09 13:40:32,kaggle
1,30,2019-12-09 13:40:32,kaggle
1,31,2019-12-09 13:40:32,kaggle
1,32,2019-12-09 13:40:32,kaggle
1,33,2019-12-09 13:40:32,kaggle
1,34,2019-12-09 13:40:32,kaggle
1,35,2019-12-09 13:40:32,kaggle
1,36,2019-12-09 13:40:32,kaggle
1,37,2019-12-09 13:40:32,kaggle
1,38,2019-12-09 13:40:32,kaggle
1,39,2019-12-09 13:40:32,kaggle
1,40,2019-12-09 13:40:32,kaggle
1,41,2019-12-09 13:40:32,kaggle
1,42,2019-12-09 13:40:32,kaggle
1,43,2019-12-09 13:40:32,kaggle
1,44,2019-12-09 13:40:32,kaggle
1,45,2019-12-09 13:40:32,kaggle
1,46,2019-12-09 13:40:32,kaggle
1,47,2019-12-09 13:40:32,kaggle
1,48,2019-12-09 13:40:32,kaggle
1,49,2019-12-09 13:40:32,kaggle
1,50,2019-12-09 13:40:32,kaggle
1,51,2019-12-09 13:40:32,kaggle
1,52,2019-12-09 13:40:32,kaggle
1,53,2019-12-09 13:40:32,kaggle
1,54,2019-12-09 13:40:32,kaggle
1,55,2019-12-09 13:40:32,kaggle
1,56,2019-12-09 13:40:32,kaggle
1,57,2019-12-09 13:40:32,kaggle
1,58,2019-12-09 13:40:32,kaggle
1,59,2019-12-09 13:40:32,kaggle
1,60,2019-12-09 13:40:32,kaggle
1,61,2019-12-09 13:40:32,kaggle
1,62,2019-12-09 13:40:32,kaggle
1,63,2019-12-09 13:40:32,kaggle
1,64,2019-12-09 13:40:32,kaggle
1,65,2019-12-09 13:40:32,kaggle
1,66,2019-12-09 13:40:32,kaggle
1,67,2019-12-09 13:40:32,kaggle
1,68,2019-12-09 13:40:32,kaggle
1,69,2019-12-09 13:40:32,kaggle
1,70,2019-12-09 13:40:32,kaggle
1,71,2019-12-09 13:40:32,kaggle
1,72,2019-12-09 13:40:32,kaggle
1,73,2019-12-09 13:40:32,kaggle
1,74,2019-12-09 13:40:32,kaggle
1,75,2019-12-09 13:40:32,kaggle
1,76,2019-12-09 13:40:32,kaggle
2,77,2019-12-09 13:40:32,kaggle
3,78,2019-12-09 13:40:32,kaggle
2,79,2019-12-09 13:40:32,kaggle
2,80,2019-12-09 13:40:32,kaggle
2,81,2019-12-09 13:40:32,kaggle
3,82,2019-12-09 13:40:32,kaggle
3,83,2019-12-09 13:40:32,kaggle
3,84,2019-12-09 13:40:32,kaggle
2,85,2019-12-09 13:40:32,kaggle
3,86,2019-12-09 13:40:32,kaggle
2,87,2019-12-09 13:40:32,kaggle
2,88,2019-12-09 13:40:32,kaggle
3,89,2019-12-09 13:40:32,kaggle
2,90,2019-12-09 13:40:32,kaggle
2,91,2019-12-09 13:40:32,kaggle
3,92,2019-12-09 13:40:32,kaggle
2,93,2019-12-09 13:40:32,kaggle
2,94,2019-12-09 13:40:32,kaggle
3,95,2019-12-09 13:40:32,kaggle
2,96,2019-12-09 13:40:32,kaggle
3,97,2019-12-09 13:40:32,kaggle
2,98,2019-12-09 13:40:32,kaggle
3,99,2019-12-09 13:40:32,kaggle
3,100,2019-12-09 13:40:32,kaggle
2,101,2019-12-09 13:40:32,kaggle
3,102,2019-12-09 13:40:32,kaggle
3,103,2019-12-09 13:40:32,kaggle
3,104,2019-12-09 13:40:32,kaggle
2,105,2019-12-09 13:40:32,kaggle
2,106,2019-12-09 13:40:32,kaggle
3,107,2019-12-09 13:40:32,kaggle
3,108,2019-12-09 13:40:32,kaggle
3,109,2019-12-09 13:40:32,kaggle
2,110,2019-12-09 13:40:32,kaggle
