student_id,group_id,LoadDateTimeStamp,RecordSource
1,1,2019-12-09 13:40:32,kaggle
2,1,2019-12-09 13:40:32,kaggle
3,1,2019-12-09 13:40:32,kaggle
4,1,2019-12-09 13:40:32,kaggle
5,1,2019-12-09 13:40:32,kaggle
6,1,2019-12-09 13:40:32,kaggle
7,1,2019-12-09 13:40:32,kaggle
8,1,2019-12-09 13:40:32,kaggle
9,1,2019-12-09 13:40:32,kaggle
10,1,2019-12-09 13:40:32,kaggle
11,1,2019-12-09 13:40:32,kaggle
12,1,2019-12-09 13:40:32,kaggle
13,1,2019-12-09 13:40:32,kaggle
14,1,2019-12-09 13:40:32,kaggle
15,1,2019-12-09 13:40:32,kaggle
16,1,2019-12-09 13:40:32,kaggle
17,1,2019-12-09 13:40:32,kaggle
18,1,2019-12-09 13:40:32,kaggle
19,1,2019-12-09 13:40:32,kaggle
20,1,2019-12-09 13:40:32,kaggle
21,1,2019-12-09 13:40:32,kaggle
22,1,2019-12-09 13:40:32,kaggle
23,1,2019-12-09 13:40:32,kaggle
24,1,2019-12-09 13:40:32,kaggle
25,1,2019-12-09 13:40:32,kaggle
26,1,2019-12-09 13:40:32,kaggle
27,1,2019-12-09 13:40:32,kaggle
28,1,2019-12-09 13:40:32,kaggle
29,1,2019-12-09 13:40:32,kaggle
30,1,2019-12-09 13:40:32,kaggle
31,1,2019-12-09 13:40:32,kaggle
32,1,2019-12-09 13:40:32,kaggle
33,1,2019-12-09 13:40:32,kaggle
34,1,2019-12-09 13:40:32,kaggle
35,1,2019-12-09 13:40:32,kaggle
36,1,2019-12-09 13:40:32,kaggle
37,1,2019-12-09 13:40:32,kaggle
38,1,2019-12-09 13:40:32,kaggle
39,1,2019-12-09 13:40:32,kaggle
40,1,2019-12-09 13:40:32,kaggle
41,1,2019-12-09 13:40:32,kaggle
42,1,2019-12-09 13:40:32,kaggle
43,1,2019-12-09 13:40:32,kaggle
44,1,2019-12-09 13:40:32,kaggle
45,1,2019-12-09 13:40:32,kaggle
46,1,2019-12-09 13:40:32,kaggle
47,1,2019-12-09 13:40:32,kaggle
48,1,2019-12-09 13:40:32,kaggle
49,1,2019-12-09 13:40:32,kaggle
50,1,2019-12-09 13:40:32,kaggle
51,2,2019-12-09 13:40:32,kaggle
52,2,2019-12-09 13:40:32,kaggle
53,2,2019-12-09 13:40:32,kaggle
54,2,2019-12-09 13:40:32,kaggle
55,2,2019-12-09 13:40:32,kaggle
56,2,2019-12-09 13:40:32,kaggle
57,2,2019-12-09 13:40:32,kaggle
58,2,2019-12-09 13:40:32,kaggle
59,2,2019-12-09 13:40:32,kaggle
60,2,2019-12-09 13:40:32,kaggle
61,2,2019-12-09 13:40:32,kaggle
62,2,2019-12-09 13:40:32,kaggle
63,2,2019-12-09 13:40:32,kaggle
64,2,2019-12-09 13:40:32,kaggle
65,2,2019-12-09 13:40:32,kaggle
66,2,2019-12-09 13:40:32,kaggle
67,2,2019-12-09 13:40:32,kaggle
68,2,2019-12-09 13:40:32,kaggle
69,2,2019-12-09 13:40:32,kaggle
70,2,2019-12-09 13:40:32,kaggle
71,2,2019-12-09 13:40:32,kaggle
72,2,2019-12-09 13:40:32,kaggle
73,2,2019-12-09 13:40:32,kaggle
74,2,2019-12-09 13:40:32,kaggle
75,2,2019-12-09 13:40:32,kaggle
76,2,2019-12-09 13:40:32,kaggle
77,2,2019-12-09 13:40:32,kaggle
78,2,2019-12-09 13:40:32,kaggle
79,2,2019-12-09 13:40:32,kaggle
80,2,2019-12-09 13:40:32,kaggle
81,2,2019-12-09 13:40:32,kaggle
82,2,2019-12-09 13:40:32,kaggle
